submission_id,file_name,method_name,prediction,most_similar,most_similar_index
24,Message,|get||move||validity|,|is||set|,|is||set|,35
24,Message,|set||move||validity|,|set||is||set|,|set||is||set|,20
24,Message,|get||code|,|get||id|,|get||id|,12
24,Message,|set||code|,|set||id|,|set||id|,13
24,Message,|get||message|,|get||message|,|get||message|,39
24,Message,|set||message|,|on||message|,|on||message|,40
24,GameBoard,|get||p|,get,|e|,8
24,GameBoard,|set||p|,|set||output|,|set||output|,9
24,GameBoard,|get||p|,get,|e|,6
24,GameBoard,|set||p|,|set||output|,|set||output|,7
24,GameBoard,|is||game||started|,|is||empty|,|is||empty|,19
24,GameBoard,|set||game||started|,|set||transaction|,|set||transaction|,263
24,GameBoard,|get||turn|,|get||id|,|get||id|,2
24,GameBoard,|set||turn|,|set||id|,|set||id|,3
24,GameBoard,|get||board||state|,|get||property|,|get||property|,266
24,GameBoard,|set||board||state|,|set||id|,|set||id|,3
24,GameBoard,|set||board||state|,|set||value|,|set||value|,429
24,GameBoard,|get||winner|,|get||id|,|get||id|,2
24,GameBoard,|set||winner|,|set||id|,|set||id|,3
24,GameBoard,|is||draw|,|is||empty|,|is||empty|,10
24,GameBoard,|set||draw|,|set||is||set|,|set||is||set|,1
24,Move,|get||player|,|get||output|,|get||output|,47
24,Move,|set||player|,|set||output|,|set||output|,7
24,Move,|get||move||x|,|get||id|,|get||id|,2
24,Move,|set||move||x|,|set||id|,|set||id|,3
24,Move,|get||move||y|,|get||id|,|get||id|,2
24,Move,|set||move||y|,|set||id|,|set||id|,3
24,Player,|set||type|,|set||type||type|,|set||type||type|,558
24,Player,|get||type|,|get||value|,|get||value|,898
24,Player,|set||id|,|set||id|,|set||id|,3
24,Player,|get||id|,|get||id|,|get||id|,2
24,PlayGame,|set||type|,|set||type||type|,|set||type||type|,558
24,PlayGame,|get||type|,|get||value|,|get||value|,898
24,PlayGame,|set||id|,|set||id|,|set||id|,3
24,PlayGame,|get||id|,|get||id|,|get||id|,2
65,Message,|is||move||validity|,|is||set|,|is||set|,0
65,Message,|set||move||validity|,|set||is||set|,|set||is||set|,1
65,Message,|get||code|,|get||id|,|get||id|,2
65,Message,|set||code|,|set||id|,|set||id|,3
65,Message,|get||message|,|get||message|,|get||message|,4
65,Message,|set||message|,|on||message|,|on||message|,5
65,GameBoard,|is||move||validity|,|is||set|,|is||set|,0
65,GameBoard,|set||move||validity|,|set||is||set|,|set||is||set|,1
65,GameBoard,|get||code|,|get||id|,|get||id|,2
65,GameBoard,|set||code|,|set||id|,|set||id|,3
65,GameBoard,|get||message|,|get||message|,|get||message|,4
65,GameBoard,|set||message|,|on||message|,|on||message|,5
65,Move,|get||player|,|get||output|,|get||output|,21
65,Move,|set||player|,|set||output|,|set||output|,7
65,Move,|get||move||x|,|get||id|,|get||id|,2
65,Move,|set||move||x|,|set||id|,|set||id|,3
65,Move,|get||move||y|,|get||id|,|get||id|,2
65,Move,|set||move||y|,|set||id|,|set||id|,3
65,Player,|get||type|,|get||value|,|get||value|,898
65,Player,|set||type|,|set||type||type|,|set||type||type|,558
65,Player,|get||id|,|get||id|,|get||id|,2
65,Player,|set||id|,|set||id|,|set||id|,3
65,PlayGame,|get||type|,|get||value|,|get||value|,898
65,PlayGame,|set||type|,|set||type||type|,|set||type||type|,558
65,PlayGame,|get||id|,|get||id|,|get||id|,2
65,PlayGame,|set||id|,|set||id|,|set||id|,3
65,GameTest,|get||type|,|get||value|,|get||value|,898
65,GameTest,|set||type|,|set||type||type|,|set||type||type|,558
65,GameTest,|get||id|,|get||id|,|get||id|,2
65,GameTest,|set||id|,|set||id|,|set||id|,3
65,TicTacToeTest,|get||type|,|get||value|,|get||value|,898
65,TicTacToeTest,|set||type|,|set||type||type|,|set||type||type|,558
65,TicTacToeTest,|get||id|,|get||id|,|get||id|,2
65,TicTacToeTest,|set||id|,|set||id|,|set||id|,3
43,PlayGame,main,add,|d|,72
43,PlayGame,|send||game||board||to||all||players|,|set||session|,|set||session|,73
43,PlayGame,stop,stop,|to|,570
61,PlayGame,main,add,|d|,69
61,PlayGame,|send||game||board||to||all||players|,|set||session|,|set||session|,70
61,PlayGame,stop,stop,|to|,570
59,PlayGame,main,add,|d|,69
59,PlayGame,|send||game||board||to||all||players|,|set||session|,|set||session|,70
59,PlayGame,stop,stop,|to|,570
80,PlayGame,main,add,|d|,69
80,PlayGame,|send||game||board||to||all||players|,|set||session|,|set||session|,70
80,PlayGame,stop,stop,|to|,570
70,Message,|is||move||validity|,|is||set|,|is||set|,0
70,Message,|set||move||validity|,|set||is||set|,|set||is||set|,1
70,Message,|get||code|,|get||id|,|get||id|,2
